date,product,region,channel,units_sold,revenue,CAC
2024-01-01,Nutrain Vanilla,Bangalore,Instagram,16,2880,371.97533333333337
2024-01-01,Nutrain Vanilla,Bangalore,Google,16,2880,531.1173333333334
2024-01-01,Nutrain Vanilla,Bangalore,Influencers,10,1800,558.5583333333333
2024-01-01,Nutrain Vanilla,Mumbai,Instagram,16,2880,371.97533333333337
2024-01-01,Nutrain Vanilla,Mumbai,Google,8,1440,531.1173333333334
2024-01-01,Nutrain Vanilla,Mumbai,Influencers,15,2700,558.5583333333333
2024-01-01,Nutrain Vanilla,Delhi,Instagram,12,2160,371.97533333333337
2024-01-01,Nutrain Vanilla,Delhi,Google,8,1440,531.1173333333334
2024-01-01,Nutrain Vanilla,Delhi,Influencers,5,900,558.5583333333333
2024-01-01,Nutrain Vanilla,Chennai,Instagram,13,2340,371.97533333333337
2024-01-01,Nutrain Vanilla,Chennai,Google,5,900,531.1173333333334
2024-01-01,Nutrain Vanilla,Chennai,Influencers,1,180,558.5583333333333
2024-01-01,Nutrain Choco Coffee,Bangalore,Instagram,10,1900,371.97533333333337
2024-01-01,Nutrain Choco Coffee,Bangalore,Google,9,1710,531.1173333333334
2024-01-01,Nutrain Choco Coffee,Bangalore,Influencers,5,950,558.5583333333333
2024-01-01,Nutrain Choco Coffee,Mumbai,Instagram,17,3230,371.97533333333337
2024-01-01,Nutrain Choco Coffee,Mumbai,Google,10,1900,531.1173333333334
2024-01-01,Nutrain Choco Coffee,Mumbai,Influencers,6,1140,558.5583333333333
2024-01-01,Nutrain Choco Coffee,Delhi,Instagram,12,2280,371.97533333333337
2024-01-01,Nutrain Choco Coffee,Delhi,Google,11,2090,531.1173333333334
2024-01-01,Nutrain Choco Coffee,Delhi,Influencers,6,1140,558.5583333333333
2024-01-01,Nutrain Choco Coffee,Chennai,Instagram,5,950,371.97533333333337
2024-01-01,Nutrain Choco Coffee,Chennai,Google,9,1710,531.1173333333334
2024-01-01,Nutrain Choco Coffee,Chennai,Influencers,1,190,558.5583333333333
2024-01-01,Nutrain Banana Oats,Bangalore,Instagram,5,850,371.97533333333337
2024-01-01,Nutrain Banana Oats,Bangalore,Google,10,1700,531.1173333333334
2024-01-01,Nutrain Banana Oats,Bangalore,Influencers,0,0,558.5583333333333
2024-01-01,Nutrain Banana Oats,Mumbai,Instagram,11,1870,371.97533333333337
2024-01-01,Nutrain Banana Oats,Mumbai,Google,9,1530,531.1173333333334
2024-01-01,Nutrain Banana Oats,Mumbai,Influencers,3,510,558.5583333333333
2024-01-01,Nutrain Banana Oats,Delhi,Instagram,5,850,371.97533333333337
2024-01-01,Nutrain Banana Oats,Delhi,Google,5,850,531.1173333333334
2024-01-01,Nutrain Banana Oats,Delhi,Influencers,6,1020,558.5583333333333
2024-01-01,Nutrain Banana Oats,Chennai,Instagram,4,680,371.97533333333337
2024-01-01,Nutrain Banana Oats,Chennai,Google,3,510,531.1173333333334
2024-01-01,Nutrain Banana Oats,Chennai,Influencers,4,680,558.5583333333333
2024-01-02,Nutrain Vanilla,Bangalore,Instagram,20,3600,224.48705882352942
2024-01-02,Nutrain Vanilla,Bangalore,Google,12,2160,311.3156
2024-01-02,Nutrain Vanilla,Bangalore,Influencers,4,720,795.1085714285715
2024-01-02,Nutrain Vanilla,Mumbai,Instagram,18,3240,224.48705882352942
2024-01-02,Nutrain Vanilla,Mumbai,Google,16,2880,311.3156
2024-01-02,Nutrain Vanilla,Mumbai,Influencers,7,1260,795.1085714285715
2024-01-02,Nutrain Vanilla,Delhi,Instagram,16,2880,224.48705882352942
2024-01-02,Nutrain Vanilla,Delhi,Google,10,1800,311.3156
2024-01-02,Nutrain Vanilla,Delhi,Influencers,7,1260,795.1085714285715
2024-01-02,Nutrain Vanilla,Chennai,Instagram,6,1080,224.48705882352942
2024-01-02,Nutrain Vanilla,Chennai,Google,8,1440,311.3156
2024-01-02,Nutrain Vanilla,Chennai,Influencers,7,1260,795.1085714285715
2024-01-02,Nutrain Choco Coffee,Bangalore,Instagram,10,1900,224.48705882352942
2024-01-02,Nutrain Choco Coffee,Bangalore,Google,15,2850,311.3156
2024-01-02,Nutrain Choco Coffee,Bangalore,Influencers,6,1140,795.1085714285715
2024-01-02,Nutrain Choco Coffee,Mumbai,Instagram,15,2850,224.48705882352942
2024-01-02,Nutrain Choco Coffee,Mumbai,Google,8,1520,311.3156
2024-01-02,Nutrain Choco Coffee,Mumbai,Influencers,5,950,795.1085714285715
2024-01-02,Nutrain Choco Coffee,Delhi,Instagram,4,760,224.48705882352942
2024-01-02,Nutrain Choco Coffee,Delhi,Google,4,760,311.3156
2024-01-02,Nutrain Choco Coffee,Delhi,Influencers,6,1140,795.1085714285715
2024-01-02,Nutrain Choco Coffee,Chennai,Instagram,6,1140,224.48705882352942
2024-01-02,Nutrain Choco Coffee,Chennai,Google,5,950,311.3156
2024-01-02,Nutrain Choco Coffee,Chennai,Influencers,3,570,795.1085714285715
2024-01-02,Nutrain Banana Oats,Bangalore,Instagram,4,680,224.48705882352942
2024-01-02,Nutrain Banana Oats,Bangalore,Google,7,1190,311.3156
2024-01-02,Nutrain Banana Oats,Bangalore,Influencers,7,1190,795.1085714285715
2024-01-02,Nutrain Banana Oats,Mumbai,Instagram,8,1360,224.48705882352942
2024-01-02,Nutrain Banana Oats,Mumbai,Google,7,1190,311.3156
2024-01-02,Nutrain Banana Oats,Mumbai,Influencers,5,850,795.1085714285715
2024-01-02,Nutrain Banana Oats,Delhi,Instagram,6,1020,224.48705882352942
2024-01-02,Nutrain Banana Oats,Delhi,Google,6,1020,311.3156
2024-01-02,Nutrain Banana Oats,Delhi,Influencers,6,1020,795.1085714285715
2024-01-02,Nutrain Banana Oats,Chennai,Instagram,2,340,224.48705882352942
2024-01-02,Nutrain Banana Oats,Chennai,Google,8,1360,311.3156
2024-01-02,Nutrain Banana Oats,Chennai,Influencers,3,510,795.1085714285715
2024-01-03,Nutrain Vanilla,Bangalore,Instagram,21,3780,325.35785714285714
2024-01-03,Nutrain Vanilla,Bangalore,Google,11,1980,825.3245454545454
2024-01-03,Nutrain Vanilla,Bangalore,Influencers,7,1260,965.0783333333334
2024-01-03,Nutrain Vanilla,Mumbai,Instagram,16,2880,325.35785714285714
2024-01-03,Nutrain Vanilla,Mumbai,Google,19,3420,825.3245454545454
2024-01-03,Nutrain Vanilla,Mumbai,Influencers,8,1440,965.0783333333334
2024-01-03,Nutrain Vanilla,Delhi,Instagram,15,2700,325.35785714285714
2024-01-03,Nutrain Vanilla,Delhi,Google,8,1440,825.3245454545454
2024-01-03,Nutrain Vanilla,Delhi,Influencers,4,720,965.0783333333334
2024-01-03,Nutrain Vanilla,Chennai,Instagram,13,2340,325.35785714285714
2024-01-03,Nutrain Vanilla,Chennai,Google,5,900,825.3245454545454
2024-01-03,Nutrain Vanilla,Chennai,Influencers,3,540,965.0783333333334
2024-01-03,Nutrain Choco Coffee,Bangalore,Instagram,12,2280,325.35785714285714
2024-01-03,Nutrain Choco Coffee,Bangalore,Google,6,1140,825.3245454545454
2024-01-03,Nutrain Choco Coffee,Bangalore,Influencers,10,1900,965.0783333333334
2024-01-03,Nutrain Choco Coffee,Mumbai,Instagram,13,2470,325.35785714285714
2024-01-03,Nutrain Choco Coffee,Mumbai,Google,15,2850,825.3245454545454
2024-01-03,Nutrain Choco Coffee,Mumbai,Influencers,8,1520,965.0783333333334
2024-01-03,Nutrain Choco Coffee,Delhi,Instagram,5,950,325.35785714285714
2024-01-03,Nutrain Choco Coffee,Delhi,Google,11,2090,825.3245454545454
2024-01-03,Nutrain Choco Coffee,Delhi,Influencers,2,380,965.0783333333334
2024-01-03,Nutrain Choco Coffee,Chennai,Instagram,6,1140,325.35785714285714
2024-01-03,Nutrain Choco Coffee,Chennai,Google,6,1140,825.3245454545454
2024-01-03,Nutrain Choco Coffee,Chennai,Influencers,7,1330,965.0783333333334
